Sno,Title,Keywords,Authors,ReleaseDate,SubjectHeading,Abstract,Language
1,Beyond PTSD: Client presentations of developmental trauma disorder from a national survey of clinicians.,PTSD; abuse; trauma; DTD,"Jonathan DePierro, Wendy D'Andrea, Joseph Spinazzola, Erin Stafford, Bessel van Der Kolk, Glenn Saxe, Bradley Stolbach, Scott McKernan, Julian D Ford",2022,PTSD,"The emergence of updated Diagnostic and Statistical Manual of Mental Disorders (5th ed. [DSM–5]; American Psychiatric Association, 2013) criteria for posttraumatic stress disorder (PTSD), which includes modified criteria for young children, raises questions regarding the need for developmentally appropriate standalone psychiatric diagnosis encompassing complex trauma presentations in children. The present study addresses these questions by examining how DSM–5 PTSD and proposed developmental trauma disorder (DTD) diagnoses relate to functional impairment and trauma exposure using clinician-report surveys. Method: We surveyed psychotherapists across the United States, and asked them to report on the symptom characteristics, functional impairment, and trauma exposure of children, adolescents, and young adults under their care (n = 210; age range = 2–21). We fit symptom data to the draft criteria for (1) DTD, a proposed trauma diagnosis for children and (2) existing criteria for adult and child/preschool PTSD. Results: Results indicated that comorbidity between DTD and PTSD was high (52.4% and 59.9% for adult and child/preschool criteria, respectively). Comorbid DTD/PTSD and DTD-alone groups had more functional domains impacted and greater exposure to some types of trauma relative to the other groups. Conclusions: These findings speak to the relationship between trauma complexity and wide-ranging symptom presentations, provide support for research and clinical emphasis on a developmentally informed diagnosis, and may support existing treatment approaches.",english
2,Posttraumatic stress and alexithymia: A meta-analysis of presentation and severity.,"
alexithymia; PTSD; trauma; difficulties identifying feelings; posttraumatic stress",Emily R Edwards,2022,PTSD,"Improving treatment outcomes for posttraumatic stress necessitates consideration of factors that may impede treatment progress. Previous research suggests alexithymia—an emotion-processing deficit characterized by difficulties in identifying, describing, and attending to emotional information—may be a therapeutically relevant correlate of posttraumatic stress. Method: Building upon previous work in this area, meta-analysis was used to investigate (a) how alexithymic traits typically present among those with a posttraumatic stress disorder (PTSD) diagnosis, (b) the strength of association between alexithymic trait severity and posttraumatic stress severity independent of diagnosis, and (c) alexithymia subdimensions most closely associated with posttraumatic stress. A total of 43 samples encompassing 5,069 participants were included in analyses. Results: Results suggest individuals diagnosed with PTSD tend to experience alexithymic traits that, while just below the clinical cutoff, are 1.32 standard deviations more severe than the general population. These alexithymic traits are particularly prominent in male and veteran samples and for difficulties in identifying feelings. Independent of diagnosis, posttraumatic stress was moderately associated with alexithymic traits, and stronger associations were noted between posttraumatic stress and difficulties in identifying feelings than between posttraumatic stress and difficulties in describing feelings or externally oriented thinking. Conclusions: Results attest to the importance of considering, conceptualizing, and treating posttraumatic stress and alexithymia in tandem. Implications for ongoing treatment development for posttraumatic stress are discussed.",english
3,Understanding the relationship between interpersonal trauma and disordered eating: An extension of the model of psychological adaptation.,"
schemas; interpersonal trauma; disordered eating","Samantha C Holmes, Nicole L Johnson, Dawn M Johnson",2022,ED,"Interpersonal trauma is a nonspecific risk factor for disordered eating (DE). Studies have begun to examine mechanisms that explain the relationship; however, few have tested comprehensive theoretical models. The Model of Psychological Adaptation (McCann, Sakheim, & Abrahamson, 1988) posits that trauma exposure results in core schema disruptions that are associated with varying psychological response patterns, or psychological adaptations, that are also established predictors of DE, such as interpersonal and affective problems. The model has been successfully applied to symptoms of other psychological disorders, such as PTSD and depression, but has not previously been extended to predict DE. The current study addressed this gap in the literature by assessing an extension of the Model of Psychological Adaptation to DE. Method: A sample of 371 undergraduate women completed an online survey. Results: Using structural equation modeling, the results of the current study demonstrated positive fit for a model that represents the extension of the Model of Psychological Adaptation to DE. Conclusion: These findings corroborate the link between interpersonal trauma and DE, thus demonstrating the potential importance of assessing for DE symptoms among clients who have survived interpersonal trauma and attending to trauma history among clients who have DE. In addition, it highlights mechanisms that may be relevant to the conceptualization and treatment of DE among survivors of interpersonal trauma.",english
4,"Embodied cognition and emotion, two variables improving memory abilities in Parkinson’s and Alzheimer’s diseases.","
emotion; enactment; memory performance; Parkinson’s disease; Alzheimer’s disease","Romane Croze, Domitille Dilly, Marielle Godeau, Zineb Bouazza, Jean-Claude Getenet, Hanna Chainay, Céline Borg",2022,ND,"This study investigated whether emotions and enactment can jointly increase memory performance in nondemented Parkinson’s disease (PD) and Alzheimer’s disease (AD) patients. Method: Actions’ drawings with negative, positive, or neutral valence were presented to 17 PD patients, 17 AD patients, and 37 elderly controls, matched to age. Two conditions of intentional encoding were proposed to each participant: one verbal, in which participants had to name the represented actions; and one motor, in which they had to mime the displayed actions. Thereafter, participants were submitted to an immediate free recall task and a delayed recognition task. Results: The enactment effect was found in all three groups. The effect of emotion was also observed in that all three groups recalled negative actions better than both neutral and positive (PD patients), only neutral (AD patients), or only positive actions (elderly controls). Positive actions were not recalled better than neutral actions in any group. Conclusions: These results constitute an evidence for the preservation of the enactment effect and of the emotion effect on memory in AD and PD patients. However, they do not support the hypothesis of the combined effect of emotion and enactment on memory, neither in AD and PD patients nor in normal aging.",english
5,Cardiac-disease-induced posttraumatic stress symptoms (CDI-PTSS) among cardiac patients’ partners: A longitudinal study.,ACE; PTSD; PTSS; partners; fear of illness progression,"Eisenberg Roni, Fait Keren, Dekel Rachel, Levi Nitza, Hod Hanoch, Matezki Shlomi, Vilchinsky Noa",2022,PTSD,"Cardiac-disease-induced posttraumatic stress symptoms (CDI-PTSS) have been detected among a substantial number of cardiac patients. Even though patients’ caregiving partners are also susceptible to CDI-PTSS, the research on cardiac partners’ CDI-PTSS is scarce. Based on the ecological model of trauma and recovery, we investigated levels of partners’ CDI-PTSS over time, and factors that potentially contribute to it. Method: During patients’ hospitalizations, partners (N = 143) provided data regarding demographic variables and peritraumatic emotional distress (depression and anxiety). Four months later, partners’ CDI-PTSS, their emotional distress, fear of patients’ illness progression, and perceived social support were assessed. Eight months posthospitalization, partners filled out questionnaires tapping CDI-PTSS. Hypotheses were tested using structural equation modeling (SEM). Results: A mild level of CDI-PTSS was detected among partners, 4 and 8 months after patients’ cardiac event. Partners’ distress as measured during patients’ hospitalization, and their fear of patients’ illness progression, contributed to the manifestation of CDI-PTSS over time. Conclusions: The findings shed light on potential risk factors for partners’ CDI-PTSS. Interventions to ameliorate partners’ distress and fear of illness progression should be designed toward reducing the development of CDI-PTSS among partners.",english
6,Metacognitive strategy training versus psychoeducation for improving fatigue in children and adolescents with acquired brain injuries: A randomized controlled trial.,fatigue; pediatric brain injury; fatigue management; cognitive rehabilitation,"Hypher Ruth, Brandt Anne Elisabeth, Skovlund Eva, Skarbø Anne-Britt, Barder Helene Eidsmo, Andersson Stein, Rø Torstein Baade, Risnes Kari, Finnanger Torun Gangaune, Stubberud Jan",2022,ND,"The present study aims to explore the relative effectiveness of two group-based cognitive rehabilitation programs for reducing fatigue in pediatric acquired brain injury (pABI). Method: This is an exploratory study of secondary endpoints in a blinded, parallel-randomized controlled trial with children and adolescents (ages 10–17 years) with pABI and reported executive dysfunction. It investigates the effectiveness of a metacognitive program (pediatric goal management training, n = 36) compared to a psychoeducational program (pediatric brain health workshop, n = 37) for reducing fatigue (Pediatric Quality of Life Inventory, Multidimensional Fatigue Scale), 8 weeks and 6 months postintervention. Results: Seventy-three participants completed the allocated interventions, and 71 attended the 6-month follow-up. The results showed a significant decrease in parent-reported fatigue for both interventions from baseline to the 6-month follow-up. Forty percent of the total sample had a reliable change. There was no significant difference between the intervention groups, but a tendency in favor of the psychoeducational approach. Only subscales cognitive and sleep/rest fatigue showed significant reductions. In regression analyses, several factors predicted fatigue at 6 months follow-up, but only better global outcome and executive attention predicted a decrease in fatigue symptoms after 6 months. Conclusions: Group-based cognitive rehabilitation in the chronic phase of pABI, including education of parents and teachers, may be helpful in reducing fatigue. Global outcome and executive attention at baseline predicted fatigue improvement. Developmental factors are important to consider when tailoring pediatric interventions, as well as modifiable factors associated with fatigue. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",english
7,A Web-Based Positive Psychology App for Patients With Bipolar Disorder: Development Study,"Bipolar disorder;
Focus groups;
Empowerment;
Mental disorders","Bart Geerling, Saskia M Kelders, Anja W M M Stevens, Ralph W Kupka, Ernst T Bohlmeijer ",2022,BD,"This study aimed to gain insight into the opinions of patients with BD and health care professionals about (web-based) PPIs for BD and to develop and pilot-test an app containing PPIs specifically designed for patients with BD.
The study was conducted in accordance with the Center for eHealth and Disease Management road map principles and incorporated cocreation and designing for implementation. Data were collected using focus group discussions, questionnaires, rapid prototyping, and web-based feedback on a prototype from the participants. In total, 3 focus groups were conducted with 62% (8/13) of patients with BD and 38% (5/13) of professionals. The collected data were used to develop a smartphone app containing short PPIs. The content was based on PPIs for which a solid base of evidence is available. Finally, a pilot test was conducted to test the app.
Focus groups revealed that PPIs as part of the current BD treatment can potentially meet the following needs: offering hope, increasing self-esteem, expressing feelings, acceptance, and preventing social isolation. Some patients expressed concern that PPIs may provoke a manic or hypomanic episode by increasing positive affect. The pilot of the app showed that the PPIs are moderately to highly valued by the participants. There were no adverse effects such as increase in manic or hypomanic symptoms.
With the systematic use of user involvement (patients and professionals) in all steps of the development process, we were able to create an app that can potentially fulfill some of the current unmet needs in the treatment of BD. We reached consensus among consumers and professionals about the potential benefits of PPIs to address the unmet needs of patients with BD. The use of PPI for BD is intriguing and can be usefully explored in further studies. We emphasize that more evaluation studies (quantitative and qualitative) that are focused on the effect of PPIs in the treatment of BD should be conducted. In addition, to establish the working mechanisms in BD, explorative, qualitative, designed studies are required to reveal whether PPIs can address unmet needs in BD.",english
8,PTSD in autistic adults: Correlates of meeting DSM–5 criteria and predictors of professional diagnosis.,PTSD; diagnosis; autism spectrum disorders; autistic adults; gender differences,"Reuben Katherine E., Self-Brown Shannon, Vinoski Thomas Erin",2022,"PTSD, ND","Although many autistic adults show high posttraumatic stress, PTSD is underdiagnosed in this population. This study aims to examine correlates of autistic adults screening positive for PTSD (PTSD +) and predictors of a professional PTSD diagnosis (Diagnosis +) in the PTSD + subgroup. Method: Self-identified autistic adults (N = 677) completed an online survey on their demographic characteristics, mental health symptoms, and trauma history. T tests and chi-squares were used to compare subgroups, and logistic regression was used to predict diagnosis status. Results: PTSD + participants were less likely to be employed or to identify as cisgender men, had more mental health symptoms and worse functional impairment, and had experienced a higher number of traumas and more interpersonal trauma. The same was true for Diagnosis + participants, who were also older and more likely to have a marginalized racial/ethnic identity. Among participants who were PTSD +, older age, being a woman or gender minority, being unemployed or on disability, having increased posttraumatic stress, having more co-occurring conditions, and having lower functional impairment predicted being Diagnosis +. The final model explained 35% of variance in diagnosis. Conclusion: PTSD is associated with significant impairment in autistic adults, but it often goes unrecognized. In particular, autistic cisgender men might be underdiagnosed with PTSD because of gendered stereotypes. High functional impairment may also increase barriers to obtaining an appropriate diagnosis. Future research should include participant treatment history as a potential factor. Clinicians should be aware of these potential signs of PTSD and diagnostic barriers when working with autistic clients. ",english
9,Assessing depression outcomes in teletherapy for underserved residents in Central Texas: Telehealth’s move to treatment-as-usual.,treatment-as-usual; rural; telepsychology; community mental health; psychotherapy outcomes,"Armstrong Trey W., McCord Carly E., Stickley Mariah M., George Nevita, Elliott Timothy R.",2022,DP,"Telehealth is a flexible and cost-effective solution for providing psychotherapy services. The present study examines teletherapy outcomes data using two methodological frameworks: a categorical outcome approach, clinically significant change (CSC), and a continuous outcome approach, latent growth mixture modeling (LGMM). Archival data from 424 rural-residing clients were analyzed. Kaplan–Meier survival curves were fitted in two ways of comparison. The level of change was also explored and was modeled at five points as well as six points. A latent growth mixture model was fitted to assess depression severity over time. Clients achieved either CSC or overall improvement on the Patient Health Questionnaire–9 after three–seven sessions. Session-to-session results indicated that change took longer (10–11 sessions). Reliable deterioration was infrequently experienced and, thus, difficult to model. The LGMM fit best with three classes, of which two started clinically and varied in their improvement rates. The third class started nonclinically and showed little improvement over time. This study advances the literature regarding outcomes for rural clients by utilizing the frame of treatment-as-usual psychotherapy effectiveness and providing more generalizability to this specific population.",english
10,A meta-analysis of sandplay therapy treatment outcomes.,sandplay therapy; sandtray therapy; play therapy; Dora Kalff,"Wiersma Jacquelyn K., Freedle Lorraine R., McRoberts Rachel, Solberg Kenneth B.",2022,"AD, PTSD, ND, Treatment","Sandplay therapy is a cross-cultural, psychodynamic, nondirective, multisensory psychotherapy method founded by Dora Kalff. Sandplay is used with children and adults with a range of mental health problems. Despite sandplay’s growing popularity, its empirical evidence base is less developed than more well-known therapies. This international study provides a meta-analysis of the available quantitative outcome studies in order to summarize the growing evidence base of sandplay. The meta-analysis specifically examined emotional and behavioral outcome measures of treatment with sandplay therapy. The initial search identified 1,715 potential records from over 16 countries. After screening, 40 studies from eight countries representing 1,284 participants met the inclusion criteria. Mean effect sizes were calculated using a random effects model with the Comprehensive Meta-Analysis (CMA) program. The overall effect size was large (Hedges’ g = 1.10). Large effect sizes were maintained for internalizing, externalizing, and attention-deficit/hyperactivity disorder (ADHD) symptoms. Improved effect sizes were associated with individual treatment over the group format. These results suggest that sandplay therapy is an effective treatment method for children and adults with a wide variety of mental health concerns. Limitations and suggestions for further research are discussed. ",english
